R,G,B,Colour
102,139,139,Black
47,79,79,
151,255,255,
141,238,238,Black
121,205,205,Black
82,139,139,Black
0,255,255,
0,238,238,Black
0,205,205,Black
0,139,139,Black
0,128,128,
72,209,204,
32,178,170,
3,168,158,
64,224,208,
128,138,135,
0,199,140,
127,255,212,
118,238,198,Black
102,205,170,Black
69,139,116,
0,250,154,
245,255,250,Black
0,255,127,Black
0,238,118,Black
0,205,102,Black
0,139,69,Black
60,179,113,
84,255,159,
78,238,148,Black
67,205,128,Black
46,139,87,
0,201,87,
189,252,201,
61,145,64,Black
240,255,240,
224,238,224,Black
193,205,193,Black
131,139,131,Black
143,188,143,
193,255,193,Black
180,238,180,Black
155,205,155,Black
105,139,105,Black
152,251,152,
154,255,154,Black
144,238,144,Black
124,205,124,Black
84,139,84,
50,205,50,
34,139,34,
0,255,0,
0,238,0,Black
0,205,0,
0,139,0,
0,128,0,
0,100,0,
48,128,20,
124,252,0,
127,255,0,Black
118,238,0,Black
102,205,0,
69,139,0,
173,255,47,
202,255,112,Black
188,238,104,Black
162,205,90,Black
110,139,61,Black
85,107,47,
107,142,35,
192,255,62,
179,238,58,Black
154,205,50,Black
105,139,34,
255,255,240,
238,238,224,Black
205,205,193,Black
139,139,131,Black
245,245,220,Black
255,255,224,Black
238,238,209,Black
205,205,180,Black
139,139,122,Black
250,250,210,
255,255,0,Black
238,238,0,Black
205,205,0,Black
139,139,0,Black
128,128,105,
128,128,0,
189,183,107,
255,246,143,Black
238,230,133,Black
205,198,115,Black
139,134,78,Black
240,230,140,
238,232,170,Black
255,250,205,Black
238,233,191,Black
205,201,165,Black
139,137,112,Black
255,236,139,
238,220,130,Black
205,190,112,Black
139,129,76,Black
227,207,87,
255,215,0,
238,201,0,Black
205,173,0,
139,117,0,
255,248,220,
238,232,205,Black
205,200,177,Black
139,136,120,Black
218,165,32,
255,193,37,
238,180,34,
205,155,29,
139,105,20,
184,134,11,
255,185,15,
238,173,14,
205,149,12,
139,101,8,
255,165,0,
238,154,0,
205,133,0,
139,90,0,
255,250,240,
253,245,230,Black
245,222,179,Black
255,231,186,Black
238,216,174,Black
205,186,150,Black
139,126,102,Black
255,228,181,
255,239,213,Black
255,235,205,Black
255,222,173,Black
238,207,161,Black
205,179,139,Black
139,121,94,Black
252,230,201,
210,180,140,Black
156,102,31,Black
255,153,18,
250,235,215,
255,239,219,Black
238,223,204,Black
205,192,176,Black
139,131,120,Black
222,184,135,
255,211,155,
238,197,145,Black
205,170,125,Black
139,115,85,
255,228,196,
238,213,183,Black
205,183,158,Black
139,125,107,Black
227,168,105,
237,145,33,
255,140,0,
255,127,0,
238,118,0,
205,102,0,
139,69,0,
255,128,0,
255,165,79,
238,154,73,
205,133,63,
139,90,43,
250,240,230,
255,218,185,Black
238,203,173,Black
205,175,149,Black
139,119,101,Black
255,245,238,
238,229,222,Black
205,197,191,Black
139,134,130,Black
244,164,96,
199,97,20,
210,105,30,
255,127,36,
238,118,33,
205,102,29,
139,69,19,
41,36,33,
255,125,64,
255,97,3,
138,54,15,
160,82,45,
255,130,71,
238,121,66,
205,104,57,
139,71,38,
255,160,122,
238,149,114,
205,129,98,
139,87,66,
255,127,80,
255,69,0,
238,64,0,
205,55,0,
139,37,0,
94,38,18,
233,150,122,
255,140,105,
238,130,98,
205,112,84,
139,76,57,
255,114,86,
238,106,80,
205,91,69,
139,62,47,
138,51,36,
255,99,71,
238,92,66,
205,79,57,
139,54,38,
250,128,114,
255,228,225,
238,213,210,Black
205,183,181,Black
139,125,123,Black
255,250,250,Black
238,233,233,Black
205,201,201,Black
139,137,137,Black
188,143,143,Black
255,193,193,Black
238,180,180,Black
205,155,155,Black
139,105,105,Black
240,128,128,
205,92,92,
255,106,106,
238,99,99,
139,58,58,
205,85,85,
165,42,42,
255,64,64,
238,59,59,
205,51,51,
139,35,35,
178,34,34,
255,48,48,
238,44,44,
205,38,38,
139,26,26,
255,0,0,
238,0,0,
205,0,0,
139,0,0,
128,0,0,
142,56,142,
113,113,198,
125,158,192,Black
56,142,142,Black
113,198,113,
142,142,56,
197,193,170,
198,113,113,Black
85,85,85,
30,30,30,
40,40,40,
81,81,81,
91,91,91,
132,132,132,Black
142,142,142,Black
170,170,170,Black
183,183,183,Black
193,193,193,Black
234,234,234,Black
244,244,244,Black
255,255,255,Black
245,245,245,Black
220,220,220,Black
211,211,211,Black
192,192,192,Black
169,169,169,Black
128,128,128,Black
105,105,105,
0,0,0,
252,252,252,
250,250,250,Black
247,247,247,Black
245,245,245,Black
242,242,242,Black
240,240,240,Black
237,237,237,Black
235,235,235,Black
232,232,232,Black
229,229,229,Black
227,227,227,Black
224,224,224,Black
222,222,222,Black
219,219,219,Black
217,217,217,Black
214,214,214,Black
212,212,212,Black
209,209,209,Black
207,207,207,Black
204,204,204,Black
201,201,201,Black
199,199,199,Black
196,196,196,Black
194,194,194,Black
191,191,191,Black
189,189,189,Black
186,186,186,Black
184,184,184,Black
181,181,181,Black
179,179,179,Black
176,176,176,black
173,173,173,Black
171,171,171,Black
168,168,168,Black
166,166,166,Black
163,163,163,Black
161,161,161,
158,158,158,
156,156,156,
153,153,153,
150,150,150,
148,148,148,
145,145,145,
143,143,143,
140,140,140,
138,138,138,
135,135,135,
133,133,133,
130,130,130,
127,127,127,
125,125,125,
122,122,122,
120,120,120,
117,117,117,
115,115,115,
112,112,112,
110,110,110,
107,107,107,
105,105,105,
102,102,102,
99,99,99,
97,97,97,
94,94,94,
92,92,92,
89,89,89,
87,87,87,
84,84,84,
82,82,82,
79,79,79,
77,77,77,
74,74,74,
71,71,71,
69,69,69,
66,66,66,
64,64,64,
61,61,61,
59,59,59,
56,56,56,
54,54,54,
51,51,51,
48,48,48,
46,46,46,
43,43,43,
41,41,41,
38,38,38,
36,36,36,
33,33,33,
31,31,31,
28,28,28,
26,26,26,
23,23,23,
20,20,20,
18,18,18,
15,15,15,
13,13,13,
10,10,10,
8,8,8,
5,5,5,
3,3,3,
